Time,Conc,LSD,USD,Concentration,LSD1,USD1
0,72.5961538461538,65.8653846153846,79.0064102564103,4649.195625,4218.144375,5059.720625
200,83.4935897435897,79.0064102564103,87.8205128205128,5347.088125,5059.720625,5624.1925
300,90.8653846153846,85.0961538461538,97.4358974358974,5819.191875,5449.719375,6239.98
600,95.1923076923077,89.2628205128205,101.442307692308,6096.29625,5716.560625,6496.55812500002
800,98.8782051282051,95.1923076923077,103.044871794872,6332.348125,6096.29625,6599.18937500001
1000,95.0320512820513,91.5064102564103,98.7179487179487,6086.033125,5860.244375,6322.085
1200,96.3141025641026,91.9871794871795,101.762820512821,6168.138125,5891.03375,6517.08437500003
1400,102.083333333333,100,104.326923076923,6537.61062499998,6404.19,6681.29437499999
1600,101.282051282051,96.6346153846154,105.769230769231,6486.29499999998,6188.664375,6773.66250000001
2400,72.5961538461538,65.8653846153846,79.0064102564103,4649.195625,4218.144375,5059.720625
2600,83.4935897435897,79.0064102564103,87.8205128205128,5347.088125,5059.720625,5624.1925
2800,90.8653846153846,85.0961538461538,97.4358974358974,5819.191875,5449.719375,6239.98
3000,95.1923076923077,89.2628205128205,101.442307692308,6096.29625,5716.560625,6496.55812500002
3200,98.8782051282051,95.1923076923077,103.044871794872,6332.348125,6096.29625,6599.18937500001
3400,95.0320512820513,91.5064102564103,98.7179487179487,6086.033125,5860.244375,6322.085
3600,96.3141025641026,91.9871794871795,101.762820512821,6168.138125,5891.03375,6517.08437500003
3800,102.083333333333,100,104.326923076923,6537.61062499998,6404.19,6681.29437499999
4000,101.282051282051,96.6346153846154,105.769230769231,6486.29499999998,6188.664375,6773.66250000001
