Time,Concentration,LSD,USD
0,582.800136425648,537.553206002729,631.981582537517
2000,649.68690313779,612.309004092769,692.966575716235
4000,683.130286493861,653.62141882674,708.704638472033
6000,783.460436562073,738.213506139154,842.478171896318
8000,732.31173260573,690.99931787176,785.42769440655
10000,763.78785811733,734.278990450207,795.263983628922
12000,809.034788540249,779.525920873126,842.478171896318
14000,822.805593451567,781.493178717596,866.085266030016
16000,753.95156889495,710.671896316508,799.198499317869
24000,582.800136425648,537.553206002729,631.981582537517
26000,649.68690313779,612.309004092769,692.966575716235
28000,683.130286493861,653.62141882674,708.704638472033
30000,783.460436562073,738.213506139154,842.478171896318
32000,732.31173260573,690.99931787176,785.42769440655
34000,763.78785811733,734.278990450207,795.263983628922
36000,809.034788540249,779.525920873126,842.478171896318
38000,822.805593451567,781.493178717596,866.085266030016
40000,753.95156889495,710.671896316508,799.198499317869
